Referência,Quartos,Banheiros,Suítes,Vagas de Garagem,Bairro,Área Total,Valor Venda
148250-4,3,2,0,2,Colônia Dona Luiza,243,115000
127641-4,2,1,0,1,Cará-cará,51,115000
99980-4,2,1,0,2,Chapada,37,115000
99223-4,2,1,0,2,Contorno / Sta. Paula,48,115000
154202-4,2,2,0,2,Ronda,55,115000
151207-4,2,1,0,1,Boa Vista,50,115000
145525-4,2,1,0,1,Neves,180,115000
147135-4,2,1,0,1,Cará-cará,121,115000
130266-4,2,1,0,2,Cará-cará,61,115000
147401-4,2,1,0,1,Uvaranas,55,115000
147177-4,2,1,0,1,Neves,70,115000
127234-4,2,1,0,2,Cará-cará,52,115000
150990-4,3,1,0,1,Colônia Dona Luiza,63,115000
130086-4,2,1,0,2,Contorno / Sta. Paula,63,115000
143154-4,2,1,0,1,Chapada,104,115000
109788-4,3,2,0,2,Boa Vista,219,112000
108422-4,2,1,0,1,Uvaranas,173,110000
147265-4,2,1,0,2,Uvaranas,173,110000
135061-4,2,1,0,1,Uvaranas,173,110000
110133-4,2,1,0,2,Cará-cará,150,110000
119116-4,3,2,0,2,Contorno / Sta. Paula,92,110000
131486-4,2,1,0,2,Cará-cará,144,110000
119177-4,2,1,0,2,Nova Rússia,52,110000
128335-4,2,1,0,1,Uvaranas,52,110000
125954-4,2,1,0,2,Neves,178,110000
143085-4,2,1,0,2,Colônia Dona Luiza,40,110000
118939-4,3,2,0,2,Uvaranas,42,110000
131650-4,2,1,0,2,Colônia Dona Luiza,64,110000
118996-4,3,2,0,2,Colônia Dona Luiza,62,105000
143436-4,2,1,0,1,Jardim Carvalho,50,105000
82934-4,2,1,0,1,Estrela,47,105000
145728-4,2,3,0,3,Orfãs,53,105000
119128-4,2,1,0,2,Cará-cará,48,103000
144918-4,2,1,0,2,Cará-cará,200,103000
134540-4,1,1,0,2,Cará-cará,390,100000
143672-4,3,2,0,2,Nova Rússia,237,100000
150482-4,3,2,0,2,Contorno / Sta. Paula,40,100000
119196-4,3,1,0,2,Contorno / Sta. Paula,90,100000
128657-4,2,1,0,1,Cará-cará,151,100000
146747-4,3,1,0,1,Uvaranas,60,100000
145810-4,2,1,0,2,Cará-cará,42,100000
144551-4,3,2,0,2,Boa Vista,219,100000
107448-4,2,1,0,1,Chapada,212,99900
118989-4,3,2,0,2,Neves,85,99000
147570-4,2,1,0,1,Ronda,46,95000
132464-4,2,2,0,2,Boa Vista,219,95000
143995-4,2,1,0,1,Jardim Carvalho,41,95000
104454-4,2,1,0,1,Chapada,48,95000
66079-4,2,1,0,1,Neves,178,90000
132255-4,2,1,0,2,Neves,25,90000
126789-4,2,1,0,1,Uvaranas,173,90000
128025-4,2,1,0,1,Jardim Carvalho,241,90000
109602-4,3,1,0,1,Boa Vista,219,90000
118981-4,3,2,0,2,Jardim Carvalho,275,90000
106631-4,2,1,0,1,Boa Vista,219,85000
151618-4,2,1,0,1,Uvaranas,54,84793
118988-4,3,2,0,2,Contorno / Sta. Paula,40,80000
128183-4,2,1,0,1,Jardim Carvalho,90,80000
134672-4,3,1,0,2,Chapada,90,80000
119162-4,3,2,0,2,Ronda,40,75000
119270-4,2,1,0,2,Cará-cará,40,75000
131908-4,3,1,0,1,Colônia Dona Luiza,60,70000
144644-4,3,2,0,2,Neves,178,70000
132316-4,3,2,0,2,Boa Vista,219,70000
134504-4,3,1,0,2,Cará-cará,220,69000
150987-4,2,1,0,2,Contorno / Sta. Paula,46,66058
106633-4,2,1,0,2,Uvaranas,173,65000
129320-4,3,1,0,2,Neves,60,65000
80793-4,3,2,0,2,Contorno / Sta. Paula,200,63000
151617-4,2,1,0,2,Uvaranas,49,60408
106714-4,2,2,0,1,Uvaranas,173,60000
102674-4,1,1,0,1,Uvaranas,29,60000
132349-4,3,2,0,2,Contorno / Sta. Paula,177,60000
150981-4,2,1,0,1,Cará-cará,39,57875
131061-4,3,5,3,3,Colônia Dona Luiza,510,4200000
127156-4,3,1,3,2,Colônia Dona Luiza,510,4200000
130038-4,3,2,0,2,Nova Rússia,237,4200000
147718-4,3,1,0,3,Estrela,500,4000000
147719-4,3,3,3,3,Estrela,500,4000000
128661-4,3,5,3,6,Estrela,333,4000000
125721-4,4,2,0,3,Estrela,690,4000000
147410-4,3,1,3,3,Estrela,500,4000000
134836-4,4,3,4,3,Orfãs,550,3990000
134837-4,4,1,0,3,Orfãs,550,3990000
133549-4,4,1,4,3,Estrela,630,3950000
148933-4,4,1,0,3,Estrela,630,3950000
148934-4,4,3,4,3,Estrela,630,3950000
84251-4,6,6,2,5,Jardim Carvalho,1980,3800000
154233-4,4,8,2,4,Estrela,387,3600000
142452-4,4,1,4,3,Estrela,690,3500000
105613-4,5,7,5,4,Estrela,1000,3500000
96119-4,4,1,1,2,Colônia Dona Luiza,700,3300000
146218-4,4,1,0,3,Estrela,690,3250000
146219-4,4,3,4,3,Estrela,690,3250000
128544-4,6,6,3,6,Estrela,800,3200000
96165-4,6,1,3,3,Estrela,721,3200000
134714-4,4,2,0,2,Colônia Dona Luiza,590,3200000
134715-4,4,2,4,2,Colônia Dona Luiza,590,3200000
143098-4,5,3,3,6,Estrela,2000,3200000
132382-4,3,4,3,4,Estrela,536,3000000
128542-4,4,5,4,5,Estrela,500,3000000
154003-4,5,7,4,4,Orfãs,324,3000000
129340-4,3,1,0,3,Estrela,430,2950000
129341-4,3,3,3,3,Estrela,430,2950000
146444-4,4,6,4,2,Estrela,500,2900000
126586-4,3,4,0,4,Centro,453,2900000
126145-4,4,5,3,6,Jardim Carvalho,850,2850000
147273-4,3,3,2,3,Orfãs,430,2800000
78576-4,4,6,2,8,Centro,909,2800000
96035-4,4,1,2,3,Centro,785,2800000
46801-4,3,1,1,2,Jardim Carvalho,2000,2800000
128247-4,4,1,2,3,Estrela,390,2800000
150398-4,4,1,0,3,Orfãs,605,2750000
150399-4,4,3,4,3,Orfãs,605,2750000
99159-4,4,4,1,3,Estrela,350,2700000
133619-4,3,3,3,3,Estrela,430,2700000
154263-4,4,1,0,3,Orfãs,430,2550000
154264-4,4,3,1,3,Orfãs,430,2550000
147251-4,4,7,2,4,Jardim Carvalho,241,2500000
146108-4,5,3,0,3,Centro,627,2500000
111788-4,3,3,3,4,Estrela,500,2500000
128786-4,3,4,3,2,Jardim Carvalho,440,2400000
102387-4,3,4,3,2,Jardim Carvalho,285,2400000
127460-4,3,5,3,3,Estrela,356,2350000
117903-4,4,3,4,3,Estrela,727,2350000
142710-4,3,1,0,3,Estrela,318,2300000
142711-4,3,3,3,3,Estrela,318,2300000
142596-4,3,1,0,3,Estrela,318,2300000
128346-4,3,3,2,4,Estrela,600,2200000
20920-4,4,4,2,4,Nova Rússia,1000,2200000
84674-4,9,2,7,7,Centro,634,2200000
146396-4,3,2,0,2,Uvaranas,173,2200000
151192-4,4,5,4,3,Estrela,350,2200000
96326-4,4,1,4,3,Orfãs,380,2200000
148334-4,3,1,3,3,Estrela,363,2200000
107252-4,5,5,3,4,Jardim Carvalho,1417,2150000
145761-4,4,1,0,1,Centro,384,2150000
143455-4,3,1,3,3,Estrela,360,2100000
144346-4,4,7,4,2,Estrela,386,2000000
20908-4,3,2,0,3,Centro,10000,2000000
102810-4,3,3,1,2,Oficinas,380,2000000
135092-4,4,1,2,3,Orfãs,273,2000000
151279-4,5,5,3,5,Estrela,500,2000000
108575-4,4,3,2,3,Centro,460,2000000
143099-4,2,3,2,5,Centro,384,2000000
125528-4,3,3,3,3,Orfãs,350,2000000
144298-4,3,2,0,3,Centro,384,2000000
132350-4,5,5,4,6,Orfãs,443,1990000
148348-4,4,5,4,2,Oficinas,367,1990000
155019-4,4,3,2,2,Jardim Carvalho,241,1980000
82637-4,4,4,1,3,Boa Vista,1097,1980000
145726-4,4,2,0,2,Jardim Carvalho,420,1980000
145727-4,4,2,2,2,Jardim Carvalho,420,1980000
96761-4,4,4,1,2,Boa Vista,447,1980000
142688-4,4,3,4,3,Orfãs,408,1950000
147987-4,4,1,0,3,Orfãs,278,1950000
147988-4,4,3,3,3,Orfãs,278,1950000
150638-4,6,2,0,3,Orfãs,460,1950000
150639-4,6,3,3,3,Orfãs,460,1950000
127153-4,3,4,0,2,Oficinas,415,1950000
144242-4,3,7,3,6,Jardim Carvalho,360,1950000
147650-4,3,1,0,3,Orfãs,450,1950000
147651-4,3,3,3,3,Orfãs,450,1950000
146033-4,4,6,3,2,Oficinas,450,1950000
154051-4,4,3,2,3,Centro,384,1950000
129975-4,3,6,3,2,Oficinas,354,1915000
128507-4,5,4,1,2,Uvaranas,292,1900000
128523-4,4,4,3,4,Oficinas,241,1900000
125879-4,4,5,2,3,Estrela,990,1900000
52493-4,4,5,4,3,Estrela,585,1900000
129006-4,4,4,1,2,Uvaranas,173,1900000
134473-4,4,1,4,3,Estrela,380,1900000
145393-4,3,2,3,2,Jardim Carvalho,300,1900000
148937-4,3,1,0,2,Jardim Carvalho,277,1900000
148938-4,3,2,3,2,Jardim Carvalho,277,1900000
134394-4,4,5,4,2,Estrela,333,1850000
145636-4,4,1,3,2,Jardim Carvalho,475,1800000
133310-4,3,2,0,3,Orfãs,350,1800000
27824-4,4,5,2,3,Estrela,333,1800000
96135-4,4,6,2,3,Estrela,424,1800000
96161-4,4,1,4,3,Estrela,374,1800000
65040-4,5,4,2,2,Jardim Carvalho,495,1800000
109601-4,4,4,2,2,Nova Rússia,785,1800000
109687-4,5,2,3,2,Boa Vista,219,1800000
148930-4,3,2,2,2,Nova Rússia,420,1800000
129675-4,4,4,2,3,Estrela,300,1780000
154326-4,4,5,4,3,Orfãs,372,1750000
106407-4,3,2,0,2,Jardim Carvalho,241,1740000
128997-4,3,5,3,2,Estrela,333,1700000
147746-4,3,4,3,2,Colônia Dona Luiza,243,1700000
147770-4,3,1,0,3,Orfãs,350,1700000
147771-4,3,3,1,3,Orfãs,350,1700000
147306-4,4,2,0,2,Centro,387,1700000
143224-4,3,1,0,2,Oficinas,310,1700000
106066-4,3,5,3,2,Estrela,462,1700000
128766-4,4,6,2,5,Uvaranas,173,1700000
108328-4,3,2,2,2,Oficinas,300,1700000
128894-4,3,4,3,3,Estrela,333,1700000
91456-4,3,3,0,3,Estrela,313,1700000
153554-4,3,2,1,2,Oficinas,300,1680000
154191-4,3,1,0,2,Oficinas,300,1680000
146544-4,3,5,1,6,Oficinas,300,1680000
134829-4,4,2,0,2,Boa Vista,1097,1650000
24110-4,4,4,2,4,Centro,689,1650000
110732-4,4,6,2,1,Centro,687,1650000
102668-4,5,5,2,6,Boa Vista,787,1650000
20922-4,5,6,3,10,Centro,520,1600000
127621-4,4,1,0,2,Centro,384,1600000
131505-4,4,6,4,2,Estrela,495,1600000
130247-4,3,3,1,2,Jardim Carvalho,241,1600000
107381-4,3,4,3,4,Estrela,372,1600000
107437-4,4,3,0,4,Jardim Carvalho,430,1600000
134924-4,3,2,0,2,Oficinas,336,1600000
130347-4,3,1,0,3,Orfãs,330,1600000
154325-4,3,5,3,3,Estrela,402,1600000
154189-4,3,2,3,2,Oficinas,300,1590000
154273-4,3,5,3,2,Oficinas,300,1590000
100904-4,3,5,1,2,Estrela,450,1575000
20883-4,4,4,4,3,Centro,384,1500000
129114-4,3,1,0,2,Uvaranas,350,1500000
102770-4,4,5,1,4,Centro,350,1500000
148415-4,4,6,4,4,Uvaranas,350,1500000
128383-4,5,5,1,10,Estrela,244,1500000
21932-4,4,2,2,2,Contorno / Sta. Paula,1568,1500000
130790-4,3,2,1,4,Orfãs,297,1500000
131484-4,5,5,2,4,Jardim Carvalho,547,1500000
102121-4,4,3,1,4,Jardim Carvalho,327,1500000
105995-4,3,2,0,2,Jardim Carvalho,440,1500000
27546-4,5,1,0,4,Centro,546,1500000
127698-4,3,3,0,2,Jardim Carvalho,350,1500000
96030-4,4,1,1,3,Centro,430,1500000
125920-4,4,4,3,2,Estrela,333,1500000
132493-4,4,5,1,4,Boa Vista,380,1500000
128812-4,5,4,1,4,Jardim Carvalho,241,1500000
129035-4,3,1,0,3,Estrela,250,1500000
96765-4,5,6,4,3,Estrela,400,1500000
147413-4,3,2,0,3,Centro,300,1500000
128879-4,3,4,3,2,Estrela,333,1500000
117983-4,3,3,1,2,Centro,545,1500000
99567-4,6,4,2,2,Estrela,500,1500000
106956-4,5,5,2,5,Estrela,523,1500000
144985-4,4,2,3,2,Oficinas,280,1500000
150397-4,4,3,4,3,Estrela,424,1500000
145409-4,4,4,1,4,Jardim Carvalho,241,1500000
146118-4,3,1,0,2,Jardim Carvalho,300,1490000
146405-4,3,5,3,2,Jardim Carvalho,273,1490000
151326-4,3,5,3,4,Jardim Carvalho,241,1490000
145812-4,3,2,3,2,Jardim Carvalho,300,1490000
146286-4,3,2,3,2,Jardim Carvalho,300,1490000
128911-4,3,6,3,4,Oficinas,241,1490000
147754-4,4,5,2,2,Jardim Carvalho,320,1480000
142856-4,3,4,1,2,Estrela,470,1480000
147875-4,4,4,1,4,Ronda,225,1480000
143868-4,3,4,1,10,Centro,345,1450000
107379-4,3,4,1,2,Jardim Carvalho,320,1450000
96157-4,4,1,3,3,Estrela,335,1450000
134295-4,3,3,0,3,Estrela,333,1450000
154330-4,4,4,1,2,Oficinas,226,1400000
154332-4,4,6,3,2,Colônia Dona Luiza,310,1400000
128413-4,4,5,4,2,Jardim Carvalho,338,1400000
147100-4,4,2,0,2,Chapada,300,1400000
83301-4,3,3,1,4,Estrela,470,1400000
125889-4,3,2,0,3,Centro,955,1400000
145721-4,3,3,0,3,Estrela,400,1400000
147589-4,3,2,0,2,Jardim Carvalho,241,1400000
154236-4,4,4,1,2,Ronda,2500,1400000
147187-4,3,1,0,2,Boa Vista,340,1400000
147188-4,3,2,1,2,Boa Vista,340,1400000
128942-4,4,1,1,2,Centro,384,1400000
134699-4,3,1,0,2,Boa Vista,260,1390000
128585-4,3,1,3,3,Estrela,333,1350000
134625-4,4,4,2,3,Orfãs,300,1350000
84887-4,3,4,1,3,Jardim Carvalho,241,1350000
96822-4,3,5,3,3,Oficinas,330,1350000
95392-4,4,4,1,4,Jardim Carvalho,320,1330000
126540-4,4,2,1,2,Jardim Carvalho,320,1330000
118990-4,3,2,0,2,Oficinas,320,1300000
127488-4,3,2,0,2,Oficinas,230,1300000
153601-4,3,3,1,4,Uvaranas,235,1300000
127490-4,3,2,0,2,Oficinas,298,1300000
75094-4,6,4,0,2,Centro,384,1300000
94276-4,5,3,1,2,Uvaranas,289,1300000
142515-4,3,4,3,2,Estrela,500,1300000
125773-4,3,3,1,2,Oficinas,320,1300000
150645-4,4,2,4,2,Chapada,774,1300000
146637-4,4,3,1,3,Estrela,402,1300000
129970-4,3,2,0,3,Centro,634,1300000
129712-4,4,3,1,2,Jardim Carvalho,216,1300000
96118-4,1,1,1,2,Colônia Dona Luiza,316,1300000
127780-4,3,3,1,3,Jardim Carvalho,241,1300000
96333-4,5,6,3,3,Orfãs,500,1300000
129548-4,3,2,0,2,Nova Rússia,237,1300000
96474-4,3,1,1,2,Oficinas,320,1300000
130878-4,3,2,0,2,Nova Rússia,237,1300000
128832-4,3,2,1,4,Centro,384,1300000
154006-4,3,1,1,5,Uvaranas,173,1300000
127237-4,3,1,0,2,Nova Rússia,223,1300000
134231-4,3,3,1,2,Uvaranas,235,1300000
144768-4,3,4,3,6,Estrela,333,1300000
150935-4,3,4,3,2,Jardim Carvalho,256,1300000
128968-4,4,3,0,2,Centro,384,1300000
142705-4,3,2,0,2,Oficinas,280,1295000
142706-4,3,2,1,2,Oficinas,280,1295000
20279-4,4,4,1,4,Oficinas,241,1290000
130411-4,3,6,3,4,Colônia Dona Luiza,300,1290000
96094-4,4,1,1,3,Centro,379,1287000
92537-4,3,4,3,2,Oficinas,330,1280000
127956-4,3,3,1,3,Jardim Carvalho,217,1280000
106992-4,3,5,3,4,Oficinas,300,1280000
107260-4,3,4,3,2,Neves,284,1250000
135081-4,3,1,0,2,Colônia Dona Luiza,236,1250000
128580-4,3,3,1,4,Estrela,500,1250000
128586-4,3,4,3,2,Estrela,333,1250000
28414-4,4,5,2,2,Jardim Carvalho,287,1250000
129497-4,3,2,3,2,Neves,280,1250000
147118-4,3,5,3,2,Jardim Carvalho,270,1250000
125888-4,3,4,3,2,Jardim Carvalho,308,1250000
96202-4,4,1,1,2,Jardim Carvalho,302,1250000
129579-4,3,5,3,2,Oficinas,236,1250000
96259-4,3,1,1,2,Oficinas,280,1250000
143524-4,6,4,1,4,Uvaranas,410,1250000
110761-4,4,4,2,2,Jardim Carvalho,600,1250000
135079-4,3,2,0,2,Oficinas,303,1230000
129673-4,4,1,4,2,Oficinas,289,1230000
146796-4,3,3,0,3,Estrela,230,1200000
146084-4,3,2,0,4,Nova Rússia,416,1200000
131217-4,3,2,3,2,Nova Rússia,304,1200000
129015-4,3,3,0,2,Jardim Carvalho,241,1200000
127322-4,4,5,4,3,Nova Rússia,280,1200000
20916-4,6,3,2,2,Nova Rússia,392,1200000
102796-4,3,5,2,2,Estrela,315,1200000
144107-4,4,5,2,6,Jardim Carvalho,241,1200000
145436-4,3,1,0,2,Uvaranas,200,1200000
127614-4,5,5,0,2,Uvaranas,173,1200000
128535-4,3,3,1,3,Estrela,260,1200000
107262-4,3,4,3,2,Oficinas,300,1200000
126168-4,4,4,2,2,Estrela,380,1200000
154396-4,3,3,1,2,Uvaranas,173,1200000
147321-4,3,1,1,2,Jardim Carvalho,225,1200000
147311-4,3,1,0,2,Uvaranas,237,1200000
131503-4,4,3,1,5,Estrela,333,1200000
154163-4,3,1,1,2,Colônia Dona Luiza,243,1200000
125377-4,3,6,3,2,Jardim Carvalho,295,1200000
145948-4,3,1,1,4,Estrela,200,1200000
119192-4,3,2,0,2,Oficinas,300,1200000
32031-4,3,2,1,3,Estrela,561,1200000
128632-4,4,3,1,2,Estrela,333,1200000
130260-4,3,3,0,2,Estrela,333,1200000
133413-4,4,1,0,2,Jardim Carvalho,430,1200000
96190-4,3,1,3,2,Jardim Carvalho,195,1200000
132454-4,4,2,0,2,Nova Rússia,300,1200000
109391-4,6,4,1,4,Estrela,319,1200000
96223-4,4,1,1,2,Jardim Carvalho,320,1200000
120241-4,3,4,1,2,Estrela,533,1200000
148088-4,4,6,4,4,Oficinas,379,1200000
119310-4,3,2,0,3,Centro,188,1200000
130676-4,4,2,1,2,Uvaranas,437,1200000
117697-4,4,2,1,5,Centro,200,1200000
90479-4,5,2,5,3,Oficinas,792,1200000
107655-4,5,6,5,3,Oficinas,416,1200000
128888-4,3,2,1,2,Estrela,333,1200000
128901-4,3,3,1,6,Uvaranas,173,1200000
111675-4,3,3,1,6,Centro,575,1200000
126580-4,3,3,1,3,Jardim Carvalho,241,1200000
146315-4,3,4,1,3,Centro,384,1200000
120349-4,4,2,1,2,Centro,460,1200000
133255-4,3,2,3,2,Colônia Dona Luiza,220,1190000
143831-4,5,5,2,2,Neves,350,1190000
107168-4,3,6,3,4,Colônia Dona Luiza,334,1150000
154365-4,3,2,0,2,Jardim Carvalho,270,1150000
20959-4,4,6,4,4,Nova Rússia,495,1150000
96101-4,3,1,3,2,Colônia Dona Luiza,280,1150000
145537-4,4,1,1,4,Jardim Carvalho,333,1150000
151587-4,5,2,1,2,Jardim Carvalho,179,1150000
129718-4,4,3,1,2,Estrela,340,1150000
147415-4,4,5,2,2,Colônia Dona Luiza,322,1150000
128882-4,3,2,1,2,Estrela,333,1150000
148383-4,4,5,2,2,Colônia Dona Luiza,311,1150000
145867-4,3,2,1,2,Colônia Dona Luiza,250,1125000
148301-4,3,3,0,2,Estrela,350,1125000
109812-4,3,4,0,4,Estrela,600,1100000
128983-4,4,6,4,6,Nova Rússia,237,1100000
127475-4,3,5,3,2,Oficinas,350,1100000
119024-4,3,3,0,3,Estrela,314,1100000
20929-4,4,3,2,3,Orfãs,468,1100000
77284-4,5,6,2,6,Chapada,600,1100000
129896-4,2,2,1,3,Centro,233,1100000
129658-4,3,5,3,3,Oficinas,211,1100000
148431-4,3,3,1,5,Centro,288,1100000
99501-4,3,5,1,3,Estrela,297,1100000
143701-4,4,2,2,2,Jardim Carvalho,300,1100000
148035-4,3,3,1,3,Uvaranas,173,1100000
151191-4,3,4,3,2,Jardim Carvalho,270,1100000
127183-4,4,5,2,3,Jardim Carvalho,270,1100000
127184-4,3,6,3,4,Oficinas,350,1100000
120221-4,4,5,1,3,Uvaranas,980,1100000
65195-4,3,2,3,2,Oficinas,360,1100000
130668-4,4,4,1,2,Centro,384,1100000
96473-4,3,2,3,2,Jardim Carvalho,237,1100000
131812-4,3,2,1,4,Estrela,297,1100000
131816-4,3,4,3,2,Oficinas,241,1100000
134223-4,3,1,0,2,Oficinas,180,1100000
108536-4,3,3,1,2,Estrela,300,1100000
101654-4,3,3,1,2,Estrela,297,1100000
128885-4,3,2,1,2,Jardim Carvalho,241,1100000
17973-4,3,4,3,3,Estrela,333,1100000
154355-4,3,2,3,2,Jardim Carvalho,255,1090000
142518-4,4,2,2,2,Jardim Carvalho,308,1090000
133394-4,5,2,0,2,Jardim Carvalho,260,1090000
145974-4,3,5,3,2,Jardim Carvalho,216,1090000
131823-4,3,2,0,2,Chapada,212,1070000
150826-4,3,5,3,2,Jardim Carvalho,230,1050000
128539-4,3,3,1,2,Oficinas,241,1050000
129479-4,3,1,3,2,Oficinas,300,1050000
142814-4,4,6,4,4,Chapada,774,1050000
142643-4,4,1,1,2,Jardim Carvalho,200,1050000
127235-4,3,2,0,2,Oficinas,300,1050000
154274-4,3,3,1,4,Jardim Carvalho,229,1050000
154034-4,4,1,4,4,Chapada,212,1050000
148741-4,3,2,0,3,Jardim Carvalho,241,1050000
102655-4,3,5,3,2,Estrela,495,1050000
153996-4,4,3,1,4,Estrela,333,1020000
94131-4,3,3,1,2,Centro,426,1000000
20889-4,3,2,1,4,Oficinas,241,1000000
20912-4,5,5,5,2,Jardim Carvalho,800,1000000
145899-4,3,2,0,2,Jardim Carvalho,200,1000000
128540-4,4,4,3,4,Estrela,1600,1000000
128543-4,3,2,1,3,Nova Rússia,365,1000000
150656-4,4,1,0,3,Orfãs,300,1000000
120467-4,3,2,1,4,Jardim Carvalho,595,1000000
128718-4,3,3,1,4,Jardim Carvalho,241,1000000
130012-4,3,5,3,4,Colônia Dona Luiza,334,1000000
127200-4,4,6,4,4,Estrela,313,1000000
128860-4,3,1,1,2,Estrela,333,1000000
19010-4,5,5,3,5,Centro,370,1000000
151652-4,3,3,1,2,Orfãs,324,1000000
147454-4,3,1,0,2,Uvaranas,230,1000000
134296-4,3,5,3,2,Colônia Dona Luiza,243,1000000
110081-4,3,1,0,2,Jardim Carvalho,237,995000
110082-4,3,2,3,2,Jardim Carvalho,237,995000
20971-4,3,3,1,4,Uvaranas,410,990000
147835-4,3,1,0,2,Colônia Dona Luiza,237,990000
147836-4,3,2,3,2,Colônia Dona Luiza,237,990000
85878-4,4,4,2,4,Uvaranas,430,990000
146450-4,4,1,2,3,Estrela,276,990000
128800-4,5,5,3,2,Estrela,462,990000
146940-4,4,4,2,4,Estrela,280,990000
143808-4,4,5,2,3,Oficinas,532,990000
148385-4,3,4,3,2,Colônia Dona Luiza,237,990000
147262-4,3,2,2,3,Estrela,333,980000
131247-4,3,3,1,2,Jardim Carvalho,236,980000
149025-4,3,4,3,2,Oficinas,207,980000
151274-4,3,1,3,6,Uvaranas,287,980000
154176-4,3,1,1,4,Boa Vista,219,980000
127736-4,3,4,1,3,Jardim Carvalho,300,980000
128644-4,4,3,1,6,Oficinas,241,980000
84255-4,3,3,0,3,Estrela,495,980000
84588-4,3,3,0,3,Estrela,345,980000
144899-4,4,3,2,2,Uvaranas,173,980000
142732-4,4,2,0,2,Boa Vista,695,980000
147897-4,4,4,2,2,Jardim Carvalho,300,980000
96146-4,4,1,1,3,Estrela,297,960000
96288-4,3,1,1,2,Oficinas,290,960000
146250-4,4,4,1,2,Oficinas,300,960000
142929-4,3,5,0,4,Nova Rússia,237,950000
120391-4,3,1,1,3,Orfãs,272,950000
147993-4,4,3,1,4,Jardim Carvalho,300,950000
144618-4,4,2,0,2,Jardim Carvalho,285,950000
111882-4,4,2,2,2,Uvaranas,325,950000
128552-4,4,3,2,8,Jardim Carvalho,600,950000
129670-4,3,4,3,2,Jardim Carvalho,233,950000
83078-4,4,2,1,2,Estrela,554,950000
83427-4,4,3,1,3,Nova Rússia,360,950000
128638-4,3,2,1,1,Ronda,709,950000
144849-4,4,3,1,2,Estrela,333,950000
132706-4,3,3,1,3,Estrela,194,950000
52258-4,4,4,1,5,Orfãs,840,950000
147837-4,3,2,3,2,Colônia Dona Luiza,247,950000
106131-4,3,4,1,4,Jardim Carvalho,270,950000
132470-4,3,2,0,2,Oficinas,241,950000
150853-4,3,1,0,2,Uvaranas,200,950000
151592-4,4,4,1,3,Orfãs,405,950000
154227-4,3,1,3,2,Estrela,300,950000
96397-4,3,1,1,2,Uvaranas,250,950000
126347-4,1,3,0,1,Estrela,216,950000
104455-4,3,2,1,2,Jardim Carvalho,495,950000
143360-4,3,3,1,2,Estrela,322,950000
126122-4,3,4,3,2,Cará-cará,345,950000
150766-4,3,3,2,2,Jardim Carvalho,233,950000
147695-4,4,4,1,3,Jardim Carvalho,630,950000
146524-4,3,4,0,4,Colônia Dona Luiza,280,950000
154485-4,3,1,0,2,Colônia Dona Luiza,247,950000
146532-4,3,2,0,2,Nova Rússia,237,950000
142898-4,3,1,1,2,Estrela,255,950000
147687-4,4,3,3,4,Jardim Carvalho,241,950000
148384-4,3,4,3,2,Colônia Dona Luiza,247,950000
102568-4,3,3,1,3,Orfãs,270,950000
132346-4,3,2,1,4,Orfãs,495,950000
135049-4,4,3,1,2,Estrela,200,930000
147986-4,4,2,2,2,Neves,300,930000
146836-4,4,1,2,2,Jardim Carvalho,223,930000
110760-4,3,4,2,3,Jardim Carvalho,462,930000
134631-4,3,1,0,3,Centro,220,920000
134873-4,4,2,1,3,Estrela,306,920000
118794-4,3,2,0,2,Uvaranas,438,920000
144029-4,3,3,1,2,Jardim Carvalho,200,920000
105663-4,3,2,1,2,Neves,268,915000
146517-4,3,3,1,2,Orfãs,233,900000
142939-4,5,5,2,4,Nova Rússia,450,900000
146109-4,3,2,3,2,Neves,220,900000
154125-4,3,2,1,2,Estrela,333,900000
120421-4,3,3,1,3,Uvaranas,300,900000
126654-4,3,1,0,3,Nova Rússia,250,900000
128601-4,3,4,3,2,Jardim Carvalho,241,900000
134151-4,6,4,1,6,Nova Rússia,295,900000
127783-4,3,2,0,2,Jardim Carvalho,220,900000
128687-4,3,2,1,2,Jardim Carvalho,241,900000
119755-4,3,3,0,3,Estrela,290,900000
125917-4,4,3,1,2,Oficinas,320,900000
126913-4,3,1,0,1,Orfãs,497,900000
101080-4,3,5,3,2,Estrela,215,900000
101293-4,4,3,1,3,Jardim Carvalho,350,900000
144017-4,3,3,0,3,Orfãs,816,900000
150754-4,7,3,0,3,Centro,409,900000
143347-4,3,5,3,2,Estrela,300,900000
104490-4,4,3,1,3,Jardim Carvalho,350,900000
106334-4,3,3,1,2,Jardim Carvalho,378,900000
118878-4,3,2,0,2,Uvaranas,250,900000
130252-4,6,4,0,2,Oficinas,360,900000
143617-4,3,3,1,2,Olarias,201,900000
130378-4,3,3,1,2,Oficinas,241,900000
147017-4,3,5,1,2,Uvaranas,264,900000
127338-4,3,3,1,3,Centro,116,890000
95384-4,3,1,0,2,Uvaranas,354,890000
99717-4,4,6,4,3,Jardim Carvalho,450,890000
148469-4,3,3,1,4,Estrela,333,890000
147568-4,4,2,1,2,Jardim Carvalho,320,890000
103115-4,3,3,1,2,Oficinas,248,890000
134391-4,4,3,2,7,Estrela,300,890000
147131-4,4,2,1,4,Estrela,333,890000
125941-4,3,3,1,3,Centro,384,890000
125946-4,3,3,1,3,Centro,384,890000
96286-4,3,1,1,2,Oficinas,248,890000
